ID: 682bd082-42a3-416f-9def-e304c43ca2b5, Content: Where do you study?, Number: 1, QuestionType: Study 🎓
ID: 09334dc2-05f4-4bdb-95b7-3a7b738130ae, Content: Can you describe a recent time when you felt really happy?, Number: 2, QuestionType: Happiness 😊
ID: 23f746ef-619d-4f62-ad8c-1a983ac3367d, Content: Do you think it's important to be happy?, Number: 3, QuestionType: Happiness 😊
ID: a2c2bec3-cca1-4448-ac90-5edeca4b7b34, Content: What do you think is the key to happiness?, Number: 4, QuestionType: Happiness 😊
ID: a4162bd2-869d-4a01-a831-dcb8997f816c, Content: Do you believe money can buy happiness?, Number: 5, QuestionType: Happiness 😊
ID: 7ea9a70c-1cdd-4280-b7f8-5befed0b7df7, Content: How do you think people can increase their happiness levels?, Number: 6, QuestionType: Happiness 😊
ID: 70da7e63-9eb0-45d6-bcaf-79d2e57aea19, Content: Can happiness be measured? If so, how?, Number: 7, QuestionType: Happiness 😊
ID: ee4124eb-f5bb-408e-bf9d-15de0d14923a, Content: Do you think happiness is more important than success?, Number: 8, QuestionType: Happiness 😊
ID: 71dd2696-860b-4211-a4bd-7dd347f38de0, Content: Are there any specific activities that always make you happy?, Number: 9, QuestionType: Happiness 😊
ID: 69dfff97-06cf-4a2a-8367-0b9ea310732e, Content: How do you express happiness?, Number: 10, QuestionType: Happiness 😊
ID: 92a6d2c0-9eb8-46e6-9144-dec4f1a8cea1, Content: How often do you use the internet?, Number: 1, QuestionType: Internet 🌐
ID: 53e0042f-9a1b-4f3a-a9fa-c3358dd46ccf, Content: What do you mainly use the internet for?, Number: 2, QuestionType: Internet 🌐
ID: 89fe89a3-df14-4738-8339-941dfaac146d, Content: Can you imagine life without the internet?, Number: 3, QuestionType: Internet 🌐
ID: dbf640c7-3563-423f-b2bd-3ef8eaa6ffd6, Content: What are the advantages of the internet?, Number: 4, QuestionType: Internet 🌐
ID: b2875015-b9d3-4331-b4df-33085ff11d5b, Content: Are there any disadvantages to using the internet?, Number: 5, QuestionType: Internet 🌐
ID: 56949787-0f5b-40e3-9fc3-2378828f3b57, Content: How has the internet changed the way people communicate?, Number: 6, QuestionType: Internet 🌐
ID: bc74c349-8803-4961-b689-5c00102d4cf8, Content: What role does the internet play in your daily life?, Number: 7, QuestionType: Internet 🌐
ID: 06b9ff44-16e2-4711-b9f3-44a7973f2ca9, Content: Do you think people spend too much time on the internet?, Number: 8, QuestionType: Internet 🌐
ID: 95185d71-4f40-41bd-9164-7e74f5cb8157, Content: How do you protect your privacy and security online?, Number: 9, QuestionType: Internet 🌐
ID: 19c07931-8400-4269-8ef2-372f0e690764, Content: What do you think the future of the internet will be like?, Number: 10, QuestionType: Internet 🌐
ID: e1000fd8-df70-4766-82b0-f9956ad3e880, Content: What do you like to do in your free time?, Number: 1, QuestionType: Leisure time ⏰
ID: 1c7cae32-4616-4a27-9b4d-c2b9eae92bb1, Content: How often do you have leisure time?, Number: 2, QuestionType: Leisure time ⏰
ID: aa7a9ece-7fda-4e80-a4ab-cfa25d39a379, Content: Do you prefer spending your leisure time alone or with others?, Number: 3, QuestionType: Leisure time ⏰
ID: f23f96ff-a35a-4205-a9e9-e3ae4c232a58, Content: What activities help you relax?, Number: 4, QuestionType: Leisure time ⏰
ID: 1ab2e41a-c6d7-44c7-a582-ec7f744b164d, Content: Can you describe a typical weekend for you?, Number: 5, QuestionType: Leisure time ⏰
ID: 97c2cd10-7ae5-4540-be33-fa04fe5ffa94, Content: How do you plan your leisure time activities?, Number: 6, QuestionType: Leisure time ⏰
ID: cca47606-a11e-455a-a6a6-4c931bee7f06, Content: What are some popular leisure activities in your country?, Number: 7, QuestionType: Leisure time ⏰
ID: 97eda351-ad45-4735-a83e-d739b13f1a98, Content: Do you think it's important to have hobbies?, Number: 8, QuestionType: Leisure time ⏰
ID: 636881c4-e527-4168-b9c5-241aae9f8d29, Content: How do you balance work and leisure time?, Number: 9, QuestionType: Leisure time ⏰
ID: 9f83bc67-cba0-445d-b735-c16d855bf5a0, Content: Do you ever feel guilty about taking leisure time for yourself?, Number: 10, QuestionType: Leisure time ⏰
ID: 5fd3ae04-dcd7-469a-9394-106c606ccbe0, Content: What type of music do you like?, Number: 1, QuestionType: Music 🎶
ID: 34877931-27ab-49d4-8775-6b14f4fbd7aa, Content: How often do you listen to music?, Number: 2, QuestionType: Music 🎶
ID: bf4c1b53-d9a1-4dab-b9cc-d585ec4418e8, Content: Can you play any musical instruments?, Number: 3, QuestionType: Music 🎶
ID: a4d13dcb-b400-4160-b44d-5ef7ef8a4fcf, Content: What was the last concert or musical event you attended?, Number: 4, QuestionType: Music 🎶
ID: 82e157e4-8a37-49d4-8091-790fff740b5d, Content: How does music make you feel?, Number: 5, QuestionType: Music 🎶
ID: 8977a4f4-2dda-4302-ac0c-4d31a02eb67b, Content: Do you have a favorite music genre or artist?, Number: 6, QuestionType: Music 🎶
ID: e1534536-1741-4a78-b19c-e1447fec807d, Content: Can you name a song that is special to you? Why?, Number: 7, QuestionType: Music 🎶
ID: 0101f3e4-6120-4fb9-a97c-f6aecc5a7064, Content: Do you think music is important in people's lives?, Number: 8, QuestionType: Music 🎶
ID: 4697c4f0-df22-425a-8b88-b726b5eed4fd, Content: How has technology changed the way people listen to music?, Number: 9, QuestionType: Music 🎶
ID: 50f8aa17-d1fb-4488-b243-a283abeb330f, Content: Do you prefer listening to music alone or with others?, Number: 10, QuestionType: Music 🎶
ID: b9654ddd-f221-470a-a67b-4de07b93ccb4, Content: Do you know your neighbors well?, Number: 1, QuestionType: Neighbours & Neighbourhood 🏘️
ID: 2da3bc84-6b1b-4c2a-85ea-3ad2c9fbacb1, Content: How do you get along with your neighbors?, Number: 2, QuestionType: Neighbours & Neighbourhood 🏘️
ID: e14f6fa5-2e50-43e6-8707-23c37d41cd93, Content: Can you describe your neighborhood?, Number: 3, QuestionType: Neighbours & Neighbourhood 🏘️
ID: 10466dd5-1744-4054-bb69-a44dd4b8efe1, Content: What do you like most about your neighborhood?, Number: 4, QuestionType: Neighbours & Neighbourhood 🏘️
ID: 61ed2e1e-6c38-4af3-a1c3-3c66fd25fa51, Content: Are there any community events or gatherings in your neighborhood?, Number: 5, QuestionType: Neighbours & Neighbourhood 🏘️
ID: f0728213-cd4f-4866-9d30-74cbba47ac9e, Content: Do you think it's important to have a good relationship with your neighbors?, Number: 6, QuestionType: Neighbours & Neighbourhood 🏘️
ID: 945fd9a0-1009-4fb0-850f-70222b63470c, Content: What are some common issues people face with their neighbors?, Number: 7, QuestionType: Neighbours & Neighbourhood 🏘️
ID: 3ef4986f-510d-47f7-bc47-839c79980a0b, Content: Have you ever helped out a neighbor in need?, Number: 8, QuestionType: Neighbours & Neighbourhood 🏘️
ID: a3bf43cc-c411-4879-a14c-b40e58605ad4, Content: Do you often read newspapers?, Number: 1, QuestionType: Newspaper 📰
ID: 2ef94866-f84e-4bf3-a96b-3575fdbdf003, Content: What kind of news do you prefer to read in newspapers?, Number: 2, QuestionType: Newspaper 📰
ID: 759aa3ac-ab20-4484-bc3e-6624cadd0bfb, Content: How do newspapers influence people's opinions?, Number: 3, QuestionType: Newspaper 📰
ID: 411b1809-8ba0-4c83-842e-b604e4544ce7, Content: Do you think newspapers are still important in the age of the internet?, Number: 4, QuestionType: Newspaper 📰
ID: 1118a964-e02c-46aa-886e-cefde8f9c01d, Content: Where do you usually get your newspapers from?, Number: 5, QuestionType: Newspaper 📰
ID: 80640617-d818-453d-8376-85c2b60a7368, Content: How do you feel about reading newspapers online?, Number: 6, QuestionType: Newspaper 📰
ID: b5e3f5df-ae3b-4363-a9aa-a3cb0d28a32e, Content: What section of the newspaper do you find most interesting?, Number: 7, QuestionType: Newspaper 📰
ID: 11e94a24-60cf-409b-863c-b27a60c6bc8b, Content: Do you think newspapers provide unbiased information?, Number: 8, QuestionType: Newspaper 📰
ID: 4a3e755e-b9b7-4be7-8e93-ae8fa0e5acd2, Content: What role do newspapers play in your daily life?, Number: 9, QuestionType: Newspaper 📰
ID: 341fe2d2-6bed-49ec-afb3-8cc2f162fdbe, Content: How do you think newspapers have changed over the years?, Number: 10, QuestionType: Newspaper 📰
ID: 5d450a34-1087-4575-9928-f3f599a19ccc, Content: Do you have any pets?, Number: 1, QuestionType: Pets 🐾
ID: b19aecbd-0744-474e-b071-7910e107f239, Content: What kind of pets do you like?, Number: 2, QuestionType: Pets 🐾
ID: c5dbb9aa-ffd9-4297-af24-4b3c01912f06, Content: How do you take care of your pets?, Number: 3, QuestionType: Pets 🐾
ID: d48d80d1-6a35-4e3b-8479-b6ed8ca3203a, Content: What are the benefits of having pets?, Number: 4, QuestionType: Pets 🐾
ID: 9761fe09-ae89-4687-bcb1-3431f15f4ee3, Content: Do you think pets can help reduce stress?, Number: 5, QuestionType: Pets 🐾
ID: 453e0f64-b74f-4a69-bd13-0ede2e964d04, Content: Are there any responsibilities associated with owning pets?, Number: 6, QuestionType: Pets 🐾
ID: c044b951-050f-42f0-bd01-50ed5648bb83, Content: How do you choose a pet?, Number: 7, QuestionType: Pets 🐾
ID: 11aacb85-dbca-4522-a7e9-47c5b72cf69e, Content: Do you prefer dogs or cats as pets?, Number: 8, QuestionType: Pets 🐾
ID: f8443c52-7e8b-4d0a-aed4-400340e99459, Content: What is your favorite memory with your pet?, Number: 9, QuestionType: Pets 🐾
ID: 5e2dbdfd-6606-43df-8de0-cac776139b67, Content: How do you feel about people having exotic pets?, Number: 10, QuestionType: Pets 🐾
ID: 67d9901b-7fd9-48ec-9028-e8d4092dc5aa, Content: Do you enjoy reading?, Number: 1, QuestionType: Reading 📚
ID: 0dcf8160-d417-4748-8334-33f44419d0dc, Content: What kind of books do you like to read?, Number: 2, QuestionType: Reading 📚
ID: 83709d18-3d52-4fbb-9d41-cba67c7c4a20, Content: How often do you read?, Number: 3, QuestionType: Reading 📚
ID: 39252906-2b7a-443c-b243-b20e5cd65350, Content: Where do you usually read?, Number: 4, QuestionType: Reading 📚
ID: 343b7b31-ec31-4122-982e-2ae436c6bda0, Content: What do you like about reading?, Number: 5, QuestionType: Reading 📚
ID: d0c0971e-e759-4ffa-8a7f-8621ecf3e0a3, Content: Can you remember the first book you ever read?, Number: 6, QuestionType: Reading 📚
ID: 673f8d55-d709-4250-ac12-e90290612cac, Content: Do you prefer reading physical books or e-books?, Number: 7, QuestionType: Reading 📚
ID: a514e904-bf41-47aa-b872-0a8f0c7ddc56, Content: How do you choose what to read?, Number: 8, QuestionType: Reading 📚
ID: 5f377f25-4e9e-4edd-8aa8-5c8b7cf463a6, Content: What was the last book you read?, Number: 9, QuestionType: Reading 📚
ID: 5bcb6330-80b9-4104-8f74-4602d7de1509, Content: Do you have a favorite author or genre?, Number: 10, QuestionType: Reading 📚
ID: 425b1022-e6f4-471f-965c-3506831ca1d6, Content: Do you enjoy shopping?, Number: 1, QuestionType: Shopping 🛍️
ID: 290ef4e2-645f-4961-9e25-1a99543b8abe, Content: What do you usually buy when you go shopping?, Number: 2, QuestionType: Shopping 🛍️
ID: cb953e32-939d-4b60-a854-89e65c4ebcf7, Content: Where do you like to shop?, Number: 3, QuestionType: Shopping 🛍️
ID: 14771de3-b3d9-47eb-b631-024fe8f2e181, Content: How often do you go shopping?, Number: 4, QuestionType: Shopping 🛍️
ID: eaab1caf-bb09-4a62-938a-dafcb9e8543a, Content: Do you prefer shopping alone or with others?, Number: 5, QuestionType: Shopping 🛍️
ID: 142f77a3-ca17-4174-8995-61fb9edf20d6, Content: What do you think are the advantages of online shopping?, Number: 6, QuestionType: Shopping 🛍️
ID: 680c17a9-f7cd-4f86-b2a9-6f3183442624, Content: How do you decide what to buy when you go shopping?, Number: 7, QuestionType: Shopping 🛍️
ID: 465d9850-6d31-43aa-90fd-c6fd30bffa20, Content: Do you prefer shopping in malls or small shops?, Number: 8, QuestionType: Shopping 🛍️
ID: 379b4929-3213-4488-92b7-7dbf22e3f47f, Content: What was the last thing you bought?, Number: 9, QuestionType: Shopping 🛍️
ID: 3595d129-c739-4642-9eda-45b23e1811aa, Content: Can you remember a particularly enjoyable shopping experience?, Number: 10, QuestionType: Shopping 🛍️
ID: f2b0ef45-9dfa-4cf5-b159-6355e6c1418d, Content: Are you interested in sports?, Number: 1, QuestionType: Sport ⚽
ID: 93a1ec03-8843-485c-bf48-140b21c1d690, Content: What is your favorite sport to watch or play?, Number: 2, QuestionType: Sport ⚽
ID: 75e04ff2-6218-45ff-b6cf-a1bd18d571a3, Content: How often do you participate in sports activities?, Number: 3, QuestionType: Sport ⚽
ID: e13a31d8-666b-47d7-b837-7e45461f292e, Content: Do you have a favorite sports team?, Number: 4, QuestionType: Sport ⚽
ID: 798a9504-570a-4c7a-81e9-5013a25c189a, Content: What do you like about sports?, Number: 5, QuestionType: Sport ⚽
ID: f3d5a2c1-66c8-491b-a27f-fde2cf69b260, Content: How do sports benefit people's health?, Number: 6, QuestionType: Sport ⚽
ID: 83f23cf9-c199-4a2c-bcf4-3a1c653ca06e, Content: Have you ever attended a live sports event?, Number: 7, QuestionType: Sport ⚽
ID: 3277e4d5-5062-49b0-a7ae-0a1c165e33de, Content: Do you think it's important for children to play sports?, Number: 8, QuestionType: Sport ⚽
ID: befb0480-21f3-471d-a931-48b15f092764, Content: What sports are popular in your country?, Number: 9, QuestionType: Sport ⚽
ID: c1f3ac28-ad0a-4717-8b04-ae9f42f291ff, Content: Can you play any sports well?, Number: 10, QuestionType: Sport ⚽
ID: ff304ea4-4bcc-4163-9a33-344a6dac494c, Content: Do you watch TV regularly?, Number: 1, QuestionType: TV 📺
ID: 9f1a1670-80cc-441f-8376-cc4508be04c9, Content: What kind of TV programs do you enjoy watching?, Number: 2, QuestionType: TV 📺
ID: 09a22788-41d0-4cc1-8fe6-9c4885e755bc, Content: How much time do you spend watching TV each day?, Number: 3, QuestionType: TV 📺
ID: f77296f8-7667-468f-8d05-0d8801fb9baf, Content: Do you prefer watching TV alone or with others?, Number: 4, QuestionType: TV 📺
ID: ebc03061-2fdf-4fbe-b1f4-699687940db5, Content: What are the advantages and disadvantages of watching TV?, Number: 5, QuestionType: TV 📺
ID: 7327fc0c-27ce-4a02-9426-706ae518a758, Content: Can you remember the first TV show you ever watched?, Number: 6, QuestionType: TV 📺
ID: 861c5c50-3e9b-43c7-b6e8-be49828e97a4, Content: How do you choose what to watch on TV?, Number: 7, QuestionType: TV 📺
ID: 19ddcb4a-d760-4f22-a6f8-4f7f874c6df1, Content: Do you think TV influences people's behavior?, Number: 8, QuestionType: TV 📺
ID: 54795305-c415-4c4e-b9e8-69e06bc6852f, Content: What was the last TV show or series you watched?, Number: 9, QuestionType: TV 📺
ID: df972b55-8b76-47d5-86cd-77e086bed3eb, Content: Do you follow any TV channels regularly?, Number: 10, QuestionType: TV 📺
ID: 340e7eaa-8cd8-42fd-98bf-8cc173421201, Content: How do you usually travel from one place to another?, Number: 1, QuestionType: Transport 🚗
ID: b4a70c4e-26a5-449b-a2f6-f58d94d10c9b, Content: What is the most common form of transportation in your city?, Number: 2, QuestionType: Transport 🚗
ID: 3eafe763-09bd-4caa-9ad6-431030654dcc, Content: Do you prefer public transportation or private transportation?, Number: 3, QuestionType: Transport 🚗
ID: a8b99f75-857f-4b5a-93c4-e78c51361793, Content: How often do you use public transportation?, Number: 4, QuestionType: Transport 🚗
ID: c25b1924-4522-411d-8ff2-2c8eb742cfa6, Content: What improvements would you like to see in the transportation system in your city?, Number: 5, QuestionType: Transport 🚗
ID: e73c1b8c-e438-4cc2-95d1-6c92354acd6f, Content: Have you ever had a bad experience while using public transportation?, Number: 6, QuestionType: Transport 🚗
ID: 2a9c0233-0795-4b2e-94ac-592c101cebce, Content: How do you think transportation has changed over the years?, Number: 7, QuestionType: Transport 🚗
ID: c84feb12-a587-4ac6-8966-d48a299ee383, Content: Do you think it's important for cities to have good transportation infrastructure?, Number: 8, QuestionType: Transport 🚗
ID: c112c926-dd9e-4baf-a01e-87569f867219, Content: Have you ever traveled long distances by car or train?, Number: 9, QuestionType: Transport 🚗
ID: cd61e147-471c-441d-ad1b-8afc8eac3928, Content: How do you think people will travel in the future?, Number: 10, QuestionType: Transport 🚗
ID: 78034ae3-ebc7-4356-8379-7abc40425753, Content: What is the weather like today?, Number: 1, QuestionType: Weather ☀️
ID: 585777f0-7625-4813-a9d2-2b7406dfd662, Content: Do you pay attention to the weather forecast?, Number: 2, QuestionType: Weather ☀️
ID: 7d3c7e25-f57a-4d95-b6ec-bb18b1629b2f, Content: What is your favorite type of weather?, Number: 3, QuestionType: Weather ☀️
ID: 204216f5-e924-4173-b150-f8d173797f65, Content: How does the weather affect your daily activities?, Number: 4, QuestionType: Weather ☀️
ID: 3ac67c93-a407-4856-97f0-c85679cd4a01, Content: Do you prefer hot or cold weather?, Number: 5, QuestionType: Weather ☀️
ID: 0115a101-7903-4855-95fd-0d1d582304bb, Content: What outdoor activities do you enjoy doing in good weather?, Number: 6, QuestionType: Weather ☀️
ID: 746dbf57-d986-49a5-914d-cb0dee176229, Content: How do people in your country typically dress during different seasons?, Number: 7, QuestionType: Weather ☀️
ID: 5f85f4d2-0189-4142-8abd-188f70ce4c50, Content: Have you ever experienced extreme weather conditions?, Number: 8, QuestionType: Weather ☀️
ID: 24523aa1-de70-482a-8255-208a71282bcb, Content: How do you feel when it's raining outside?, Number: 9, QuestionType: Weather ☀️
ID: 75ee1447-f0b9-4b84-8e62-ffaa4637fc8d, Content: Do you think climate change is affecting the weather patterns in your region?, Number: 10, QuestionType: Weather ☀️
